IM_INCIDENT_KEY,FIRE_BOX,INCIDENT_TYPE_DESC,INCIDENT_DATE_TIME,ARRIVAL_DATE_TIME,UNITS_ONSCENE,LAST_UNIT_CLEARED_DATE_TIME,HIGHEST_LEVEL_DESC,TOTAL_INCIDENT_DURATION,ACTION_TAKEN1_DESC,ACTION_TAKEN2_DESC,ACTION_TAKEN3_DESC,PROPERTY_USE_DESC,STREET_HIGHWAY,ZIP_CODE,BOROUGH_DESC,FLOOR,CO_DETECTOR_PRESENT_DESC,FIRE_ORIGIN_BELOW_GRADE_FLAG,STORY_FIRE_ORIGIN_COUNT,FIRE_SPREAD_DESC,DETECTOR_PRESENCE_DESC,AES_PRESENCE_DESC,STANDPIPE_SYS_PRESENT_FLAG,Latitude,Longitude,Community Board,Community Council,Census Tract,BIN,BBL,NTA,year
57892593,1318,"100 - Fire, other",1/1/2015 0:03,1/1/2015 0:06,6,1/1/2015 0:35,7 - Signal 7-5,1919,11 - Extinguishment by fire service personnel,51 - Ventilate,12 - Salvage & overhaul,Residential/Multihousing,1 AVE,10029,1 - Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,40.7896311,-73.94006,NA,NA,NA,NA,NA,NA,2015
57892610,3762,"117 - Commercial Compactor fire, confined to rubbish",1/1/2015 0:05,1/1/2015 0:08,8,1/1/2015 1:22,7 - Signal 7-5,4642,"113 - Stretch 2 1/2  line, extinguish fire","211 - Performed primary search, fire area",NA,Residential/Multihousing,BEDFORD AVE,11225,4 - Brooklyn,22,NA,NA,NA,NA,NA,NA,NA,40.6537806,-73.956165,NA,NA,NA,NA,NA,NA,2015
57892911,3066,111 - Building fire,1/1/2015 1:06,1/1/2015 1:11,9,1/1/2015 3:21,7 - Signal 7-5,8099,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,THIERIOT AVE,10460,2 - Bronx,basement,NA,NA,6,2 - Confined to room of origin,N - None present,N - None Present,0,40.8376726,-73.8654793,NA,NA,NA,NA,NA,NA,2015
57893631,758,111 - Building fire,1/1/2015 4:51,1/1/2015 4:55,6,1/1/2015 5:41,7 - Signal 7-5,2968,11 - Extinguishment by fire service personnel,86 - Investigate,"80 - Information, investigation & enforcement, other",Commercial/Others,W 39 ST,10018,1 - Manhattan,3rd,NA,NA,3,2 - Confined to room of origin,N - None present,1 - Present,0,40.75533,-73.991177,NA,NA,NA,NA,NA,NA,2015
57894014,638,"100 - Fire, other",1/1/2015 8:37,1/1/2015 8:39,14,1/1/2015 10:15,7 - Signal 7-5,5898,"10 - Fire control or extinguishment, other",NA,NA,Residential/Multihousing,W 26 ST,10001,1 - Manhattan,3,NA,NA,NA,NA,NA,NA,NA,40.7475915,-73.9980082,NA,NA,NA,NA,NA,NA,2015
57894061,124,"100 - Fire, other",1/1/2015 9:04,1/1/2015 9:07,5,1/1/2015 10:07,7 - Signal 7-5,3767,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,BEDFORD AVE,11211,4 - Brooklyn,3,NA,NA,NA,NA,NA,NA,NA,40.713269,-73.962081,NA,NA,NA,NA,NA,NA,2015
57894511,1541,"117 - Commercial Compactor fire, confined to rubbish",1/1/2015 12:58,1/1/2015 13:02,6,1/1/2015 14:01,7 - Signal 7-5,3792,11 - Extinguishment by fire service personnel,51 - Ventilate,NA,Residential/Multihousing,AMSTERDAM AVE,10027,1 - Manhattan,Chute,NA,NA,NA,NA,NA,NA,NA,40.8145029,-73.9554427,NA,NA,NA,NA,NA,NA,2015
57894748,48,111 - Building fire,1/1/2015 14:26,1/1/2015 14:27,16,1/1/2015 16:07,7 - Signal 7-5,6045,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,VICTORY BLVD,10301,3 - Staten Island,NA,NA,NA,2,4 - Confined to building of origin,1 - Present,N - None Present,0,40.6255401,-74.0925066,NA,NA,NA,NA,NA,NA,2015
57895002,1684,111 - Building fire,1/1/2015 16:24,1/1/2015 16:27,10,1/1/2015 19:34,7 - Signal 7-5,11378,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,W 161 ST,10032,1 - Manhattan,6,NA,NA,6,3 - Confined to floor of origin,N - None present,N - None Present,0,40.8365982,-73.9431735,NA,NA,NA,NA,NA,NA,2015
57895097,3542,"117 - Commercial Compactor fire, confined to rubbish",1/1/2015 17:00,1/1/2015 17:03,7,1/1/2015 17:53,7 - Signal 7-5,3163,11 - Extinguishment by fire service personnel,51 - Ventilate,NA,Residential/Multihousing,SURF AVE,11224,4 - Brooklyn,basement,NA,NA,NA,NA,NA,NA,NA,40.5741456,-73.9891318,NA,NA,NA,NA,NA,NA,2015
